City_ID,City,Country,Max Temp,Description,Lat,Long,Hotel Name
4,Ponta Do Sol,PT,64.06,scattered clouds,32.6667,-17.1,Hotel do Campo
17,Punta Arenas,CL,55.51,broken clouds,-53.15,-70.9167,Hotel Hain
25,Kaduna,NG,64.94,clear sky,10.5222,7.4383,HAMDALA HOTEL
32,Ribeira Grande,PT,60.12,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
39,Hobart,AU,64.22,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
49,Mataura,NZ,58.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
54,New Norfolk,AU,63.91,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
78,Lebu,CL,59.0,clear sky,-37.6167,-73.65,Hostal Las Lilas
83,Kaitangata,NZ,57.92,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
92,Hermanus,ZA,64.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
95,Bilma,NE,61.34,clear sky,18.6853,12.9164,Expeditions Ténére voyages
100,Bluff,NZ,58.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
101,Monywa,MM,60.69,clear sky,22.1167,95.1333,Monywa Hotel
134,Los Llanos De Aridane,ES,64.15,clear sky,28.6585,-17.9182,Valle Aridane
137,Kitui,KE,61.97,broken clouds,-1.367,38.0106,Heritage Bliss Hotel
144,Riyadh,SA,57.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
157,Madarounfa,NE,63.37,clear sky,13.3087,7.156,Madarounfa centre ville
170,Lagoa,PT,59.56,overcast clouds,39.05,-27.9833,Casa Das Faias
178,Cortez,US,57.96,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
181,Te Anau,NZ,64.35,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
191,Mar Del Plata,AR,62.1,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
195,Chambar,PK,63.99,clear sky,25.2931,68.812,RIZWAN COMMUNICATION CHAMBER
202,Saldanha,ZA,64.45,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
217,Asilah,MA,55.26,clear sky,35.465,-6.0348,Hotel Zelis
237,Nandurbar,IN,62.82,clear sky,21.3667,74.25,Hotel Heera Executive
245,Naze,JP,59.92,overcast clouds,28.3667,129.4833,Shishime Hotel
258,Peniche,PT,60.62,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
265,Challapata,BO,55.36,scattered clouds,-18.9,-66.7667,HOSTAL MARIAN
