Cit_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,Busselton,-33.65,115.3333,90.05,42,0,9.93,clear sky,22-02-11 03:00:54
1,Avarua,-21.2078,-159.775,79.79,75,8,14.54,clear sky,22-02-11 03:00:54
2,New Norfolk,-42.7826,147.0587,74.66,30,11,3.0,few clouds,22-02-11 03:00:55
3,Bouna,9.2667,-3.0,72.73,16,5,5.01,clear sky,22-02-11 03:00:55
4,Srednekolymsk,67.45,153.6833,-24.29,93,24,2.68,few clouds,22-02-11 03:00:56
5,Dikson,73.5069,80.5464,6.03,93,100,26.73,overcast clouds,22-02-11 03:00:56
6,Simplicio Mendes,-7.8539,-41.9103,71.51,89,49,3.29,scattered clouds,22-02-11 03:00:57
7,Verkhoyansk,67.5447,133.385,-26.5,95,100,1.68,overcast clouds,22-02-11 03:00:57
8,Along,28.1667,94.7667,53.76,92,97,3.06,overcast clouds,22-02-11 03:00:58
9,Katsuura,35.1333,140.3,50.18,63,97,18.59,overcast clouds,22-02-11 03:00:58
10,Rikitea,-23.1203,-134.9692,79.25,73,34,14.83,scattered clouds,22-02-11 03:00:59
11,Albany,42.6001,-73.9662,36.81,88,36,2.84,scattered clouds,22-02-11 03:00:59
12,Estelle,29.8458,-90.1067,55.99,62,63,5.99,broken clouds,22-02-11 02:56:27
13,Ahipara,-35.1667,173.1667,77.97,87,63,10.49,broken clouds,22-02-11 03:01:00
14,Bluff,-46.6,168.3333,63.81,74,29,10.83,scattered clouds,22-02-11 03:01:00
15,Klaksvik,62.2266,-6.589,38.32,67,94,27.36,overcast clouds,22-02-11 03:01:01
16,Barbacena,-21.2258,-43.7736,62.22,99,100,2.37,overcast clouds,22-02-11 03:01:01
17,Elko,41.0002,-115.5012,41.05,91,4,3.98,clear sky,22-02-11 03:01:02
18,Souillac,-20.5167,57.5167,77.36,81,38,6.58,light rain,22-02-11 03:01:03
19,Cape Town,-33.9258,18.4232,63.27,78,0,4.61,clear sky,22-02-11 02:57:36
20,Puerto Ayora,-0.7393,-90.3518,74.55,93,84,1.01,broken clouds,22-02-11 03:01:03
21,Paamiut,61.994,-49.6678,14.31,68,100,9.78,overcast clouds,22-02-11 03:01:04
22,Saint-Augustin,51.226,-58.6502,28.38,96,100,11.03,light snow,22-02-11 03:01:04
23,Bredasdorp,-34.5322,20.0403,59.97,80,0,3.11,clear sky,22-02-11 03:01:05
24,Gazimurskiy Zavod,51.5461,118.3266,2.71,89,100,2.91,overcast clouds,22-02-11 03:01:05
25,Puerto Maldonado,-12.6,-69.1833,77.22,80,100,3.38,overcast clouds,22-02-11 03:01:06
26,Hithadhoo,-0.6,73.0833,80.94,68,100,3.44,overcast clouds,22-02-11 03:01:06
27,Victoria,22.2855,114.1577,72.03,77,42,8.01,scattered clouds,22-02-11 03:01:32
28,Erenhot,43.6475,111.9767,5.58,85,100,4.16,overcast clouds,22-02-11 03:02:22
29,Kodiak,57.79,-152.4072,35.11,75,100,34.52,snow,22-02-11 03:02:22
30,Bermeo,43.4209,-2.7215,53.64,93,100,7.96,light rain,22-02-11 03:02:23
31,Talnakh,69.4865,88.3972,-0.8,94,22,12.15,few clouds,22-02-11 03:02:23
32,Sangar,63.9242,127.4739,-27.4,95,63,3.11,broken clouds,22-02-11 03:02:24
33,Lompoc,34.6391,-120.4579,66.42,43,0,1.01,clear sky,22-02-11 03:00:11
34,Lethem,3.3803,-59.7968,79.32,64,51,11.54,broken clouds,22-02-11 03:02:24
35,Port Alfred,-33.5906,26.891,66.85,86,6,5.88,clear sky,22-02-11 03:02:25
36,Jamestown,42.097,-79.2353,31.01,55,96,4.0,overcast clouds,22-02-11 02:58:09
37,Nuuk,64.1835,-51.7216,29.01,74,75,15.99,light snow,22-02-11 03:02:07
38,Hobart,-42.8794,147.3294,75.02,44,40,20.71,scattered clouds,22-02-11 02:58:21
39,Saldanha,-33.0117,17.9442,62.42,87,0,10.87,clear sky,22-02-11 03:02:26
40,Vallenar,-28.5708,-70.7581,63.9,78,1,3.09,clear sky,22-02-11 03:00:36
41,Mataura,-46.1927,168.8643,63.48,52,34,7.14,scattered clouds,22-02-11 03:02:26
42,Lovington,32.944,-103.3485,50.65,28,0,5.61,clear sky,22-02-11 03:02:27
43,Kapaa,22.0752,-159.319,77.18,68,25,1.99,scattered clouds,22-02-11 03:02:27
44,Yellowknife,62.456,-114.3525,-17.45,68,99,8.01,overcast clouds,22-02-11 03:02:28
45,Sao Filipe,14.8961,-24.4956,77.0,60,98,4.9,overcast clouds,22-02-11 03:02:28
46,Amapa,1.0,-52.0,70.9,99,100,2.13,overcast clouds,22-02-11 03:02:29
47,Vaini,-21.2,-175.2,81.91,77,6,17.27,clear sky,22-02-11 03:02:29
48,Lebu,-37.6167,-73.65,56.8,76,0,22.32,clear sky,22-02-11 03:02:29
49,Nador,35.174,-2.9287,55.65,71,20,1.14,few clouds,22-02-11 03:02:30
50,Hilo,19.7297,-155.09,74.25,89,8,3.0,clear sky,22-02-11 03:02:30
51,Roald,62.5833,6.1333,33.94,51,40,12.66,scattered clouds,22-02-11 03:01:15
52,Coquimbo,-29.9533,-71.3436,63.32,85,8,2.33,clear sky,22-02-11 03:01:52
53,Puri,19.8,85.85,70.32,72,16,8.97,few clouds,22-02-11 03:03:46
54,Puerto Narino,-3.7703,-70.3831,78.75,90,100,0.87,overcast clouds,22-02-11 03:03:46
55,Aquiraz,-3.9014,-38.3911,82.18,78,74,5.68,broken clouds,22-02-11 03:02:07
56,Otradnoye,59.7775,30.8181,32.56,92,99,8.3,overcast clouds,22-02-11 03:03:47
57,Hami,42.8,93.45,26.62,65,100,7.54,overcast clouds,22-02-11 03:03:47
58,Atuona,-9.8,-139.0333,78.51,72,11,16.91,few clouds,22-02-11 03:03:48
